Customer,Main Phone,Fax,Address,City,State,Zip Code,Zip Code 2
1st Dental Care,630-859-9340,,1556 Douglas Road,"Montgomery,",IL,60538,
"Abdallah, Dr. Ghassan/Oak Lawn",708-599-8122,,8841 South Ridgeland,Oak,"Lawn,",IL,60453
"Abdallah, Dr. Ghassan/Tinley Park",708-429-4822,708-429-4873,7895 West 159th Street,Tinley,"Park,",IL,60477
"Abdelrahim, Dr. Sami - BURBANK",708-424-5901,,5501 West 79th Street,"Burbank,",IL,60459,
"Abdelrahim, Dr. Sami - ORLAND PARK",708-301-1100,,8752 West 159th Street,Orland,"Park,",IL,60462
Absolute Dental Care,708-383-2992,,312 Madison Street,Oak,"Park,",IL,60302
"Abusharara, Dr. Bara - South Holland",708-566-5188,,304 East 162nd Street,South,"Holland,",IL,60473
Advance Family Dental,630-236-0500,,609 South Route 59,"Aurora,",IL,60504,
"Advanced Family Dental of Shorewood, P.C.",815-729-2300,,150 Brookforest Avenue,"Shorewood,",IL,60404,
"Aggie, Dr.",847-244-7779,,2605 Grand Avenue,"Waukegan,",IL,60085,
"AHMED, DR - BRITE CLARK",773-338-8470,773-998-8471,6720 North Clark Street,"Chicago,",IL,60626,
"Ahmed, Dr. Junaid",773-583-3002,,5414 North Kedzie Ave.,"Chicago,",IL,60625,
"Aladelrahim, Dr. Sami - ORLAND SQUARE",708-301-1100,,10 Orland Square Drive,Orland,"Park,",IL,60462
Almufti - Brite Armitage,773-235-9020,,4343 West Armitage,"Chicago,",IL,60639,
Alpine Dental,847-277-0090,,428 N. Rand Road,North,"Barrington,",IL,60010
"ALZITAWI, DR RAYA - PULASKI",773-293-6118,,4445 North Pulaski,"Chicago,",IL,60641,
Amazing Touch Dental,708-849-1999,708-849-9584,1593 Main Street,"Crete,",IL,60417,
Apple Dental,630-545-1500,630-545-1511,"1120 North Main Street, Suite 2",Glendale,"Heights,",IL,60139
"Assan, Dr. - South Holland",708-566-5188,,304 East 162nd Street,South,"Holland,",IL,60473
Atassi Advance Dental Care,630-323-4903,630-323-4909,801 Plainfield Road,"Darien,",IL,60561,
"Avery, Dr. Elizabeth",847-244-7779,,2605 Grand Avenue,"Waukegan,",IL,60085,
Avid - Zahurullah,847-265-6444,,2246 East Grand Ave,"Lindenhurst,",IL,60046,
"BADER, DR. MOHAMMAD - PULASKI",773-293-6118,,4445 North Pulaski,"Chicago,",IL,60641,
"Baldovino-Casaclang, Dr. Cynthia",847-336-8611,847-336-8199,"495 North Riverside Drive, Suite 204","Gurnee,",IL,60031,
"Ballis, Dr. Steve(Lake Forest)",847-457-9200,,1025 Everett Road,Lake,"Forest,",IL,60045
"Ballis, Dr. Steve(Park Ridge)",847-823-6600,,123 South Northwest Highway,Park,"Ridge,",IL,60068
"BARA, DR - SOUTH HOLLAND",708-566-5188,,304 East 162nd Street,South,"Holland,",IL,60473
"BARA, DR. - BURBANK",7084245901,,5501 West 79th Street,"Burbank,",IL,60459,
"Bara, Dr. - ORLAND PARK",708-301-1100,,8752 West 159th Street,Orland,"Park,",IL,60462
"Bara, Dr. - Orland Square",708-301-1100,,10 Orland Square Drive,Orland,"Park,",IL,60462
Barrington Smile Dental Care,847-382-5511,847-382-0841,"1410 South Barrington Road, Suite 3","Barrington,",IL,60010,
"Bellido-Griffin, Dr. Rosa",847-429-0759, (847)749-0351,"259 East Rand Road, Suite 107",Mount,"Prospect,",IL,60056
"Bhatwadeker, Dr. Sayali",847-265-6444,,2246 East Grand Ave,"Lindenhurst,",IL,60046,
Blissful Dentistry (Baek),847-730-3771,,"630 N. Milwaukee Avenue, Suite 130","Glenview,",IL,60025,
Blissful Dentistry (Choi),847-730-3771,,"630 N. Milwaukee Avenue, Suite 130","Glenview,",IL,60025,
Blissful Dentistry (Paruchuri),847-730-3771,,"630 N. Milwaukee Avenue, Suite 130","Glenview,",IL,60025,
"Block, Dr. Nancy",312-649-1666,,"100 E Walton St, Suite 400E","Chicago,",IL,60611,
Bloom Dental,708-344-4334,,"9865 West Roosevelt Road, Suite 101","Westchester,",IL,60154,
