Company Name,Address,City,State,Zip Code,County,Primary SIC Description
12 Group Inc,462 N Mclean Blvd,Elgin,IL,60123-3240,Kane,Laboratories-Dental
151st Street Dental,9017 W 151st St,Orland Park,IL,60462-3201,Cook,Dentists
176 Dental Assoc LTD,176 S Bloomingdale Rd # A,Bloomingdale,IL,60108-1404,Du Page,Dentists
1st American Dental,2749 W Cermak Rd,Chicago,IL,60608-4682,Cook,Dentists
1st Dental Care,1556 Douglas Rd,Montgomery,IL,60538-1645,Kane,Dentists
1st Family Dental,410 Village Center Dr,Burr Ridge,IL,60527-4513,Du Page,Dentists
1st Family Dental,801 E Nerge Rd,Roselle,IL,60172-4817,Cook,Dentists
1st Family Dental Of Elgin,506 Waverly Dr,Elgin,IL,60120-4082,Cook,Dentists
1st Family Dental Of Fox Vly,55 S Commons Dr # 102,Aurora,IL,60504-4433,Du Page,Dentists
1st Family Dental-Albany Park,4901 N Kedzie Ave,Chicago,IL,60625-5009,Cook,Dentists
1st Family Dental-Andrsnvll,5333 N Clark St,Chicago,IL,60640-2121,Cook,Dentists
1st Family Dental-Arlington,1235 N Rand Rd,Arlington Hts,IL,60004-4314,Cook,Dentists
1st Family Dental-LA Grange,4901 N Kedzie Ave,Chicago,IL,60625-5009,Cook,Dentists
1st Family Dental-Little Vlg,4049 W 26th St,Chicago,IL,60623-3701,Cook,Dentists
1st Family Dental-Logan Square,2511 N Milwaukee Ave,Chicago,IL,60647-3883,Cook,Dentists
24 Hour Dentist,11105 S Kedzie Ave,Chicago,IL,60655-2329,Cook,Dentists
26th Street Dental Ctr,3936 W 26th St,Chicago,IL,60623-3705,Cook,Dentists
3020 Dental Assoc,3020 W Montrose Ave,Chicago,IL,60618-1312,Cook,Dentists
32 & U Dental,1121 N Western Ave,Chicago,IL,60622-0027,Cook,Dentists
34th Street Dental Care,6411 34th St,Berwyn,IL,60402-3717,Cook,Dentists
4 Star Dental,2309 63rd St,Woodridge,IL,60517-1300,Du Page,Dentists
888 Orthodontics PC,2043 W Irving Park Rd,Chicago,IL,60618-3935,Cook,Dentists
