Date List Produced,Record Obsolescence Date,Source,COMPANY NAME,ADDRESS,CITY,STATE,ZIP CODE,MAILING CARRIER ROUTE,MAILING DELIVERY POINT BAR CODE,LOCATION ADDRESS,LOCATION ADDRESS CITY,LOCATION ADDRESS STATE,LOCATION ADDRESS ZIP,LOCATION ADDRESS DELIVERY POINT BAR CODE,LOCATION ADDRESS CARRIER ROUTE,COUNTY,PRIMARY SIC,PRIMARY SIC DESCRIPTION,SECONDARY SIC #1,SECONDARY SIC DESCRIPTION #1,SECONDARY SIC #2,SECONDARY SIC DESCRIPTION #2,METRO AREA,DATA AXLE USA ID,LAST NAME,FIRST NAME,CONTACT TITLE,CONTACT PROF TITLE,CONTACT GENDER
Sep 14 2021,Mar 14 2022,Data Axle,12 Group Inc,462 N Mclean Blvd,Elgin,IL,60123-3240,C050,621,462 N Mclean Blvd,Elgin,IL,60123-3240,621,C050,Kane,807201,Laboratories-Dental,807201,Laboratories-Dental,,,"Chicago-Npvl, IL",728986869,,,,,
Sep 14 2021,Mar 14 2022,Data Axle,151st Street Dental,9017 W 151st St,Orland Park,IL,60462-3201,C015,178,9017 W 151st St,Orland Park,IL,60462-3201,178,C015,Cook,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",403683151,,,,,
Sep 14 2021,Mar 14 2022,Data Axle,176 Dental Assoc LTD,176 S Bloomingdale Rd # A,Bloomingdale,IL,60108-1404,C012,736,176 S Bloomingdale Rd # A,Bloomingdale,IL,60108-1404,736,C012,Du Page,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",402741733,Matustik,Joseph,OWNER,,Male
Sep 14 2021,Mar 14 2022,Data Axle,1st American Dental,2749 W Cermak Rd,Chicago,IL,60608-4682,C019,992,2749 W Cermak Rd,Chicago,IL,60608-4682,992,C019,Cook,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",748693205,Aqel,Fadi M,OPERATIONS,,Male
Sep 14 2021,Mar 14 2022,Data Axle,1st Dental Care,1556 Douglas Rd,Montgomery,IL,60538-1645,C002,561,1556 Douglas Rd,Montgomery,IL,60538-1645,561,C002,Kane,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",424726060,Malaki,Abdul,PRESIDENT,,Male
Sep 14 2021,Mar 14 2022,Data Axle,1st Family Dental,410 Village Center Dr,Burr Ridge,IL,60527-4513,C150,106,410 Village Center Dr,Burr Ridge,IL,60527-4513,106,C150,Du Page,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",722487902,Belkic,Vesna,COO,,Female
Sep 14 2021,Mar 14 2022,Data Axle,1st Family Dental,801 E Nerge Rd,Roselle,IL,60172-4817,R003,13,801 E Nerge Rd,Roselle,IL,60172-4817,13,R003,Cook,802101,Dentists,802101,Dentists,802104,Cosmetic Dentistry,"Chicago-Npvl, IL",403141011,Khawaja,Vicky,DIRECTOR,,Female
Sep 14 2021,Mar 14 2022,Data Axle,1st Family Dental Of Elgin,506 Waverly Dr,Elgin,IL,60120-4082,C031,61,506 Waverly Dr,Elgin,IL,60120-4082,61,C031,Cook,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",232291575,Garcia,Ana,OFFICE MANAGER,,Female
Sep 14 2021,Mar 14 2022,Data Axle,1st Family Dental Of Fox Vly,55 S Commons Dr # 102,Aurora,IL,60504-4433,C114,272,55 S Commons Dr # 102,Aurora,IL,60504-4433,272,C114,Du Page,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",402160181,Belkic,Vesna,GENERAL MGR,,Female
Sep 14 2021,Mar 14 2022,Data Axle,1st Family Dental-Albany Park,4901 N Kedzie Ave,Chicago,IL,60625-5009,C030,16,4901 N Kedzie Ave,Chicago,IL,60625-5009,16,C030,Cook,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",724527899,Lakhani,Rizwana Y,,DDS,Female
Sep 14 2021,Mar 14 2022,Data Axle,1st Family Dental-Andrsnvll,5333 N Clark St,Chicago,IL,60640-2121,C030,332,5333 N Clark St,Chicago,IL,60640-2121,332,C030,Cook,802101,Dentists,802101,Dentists,804914,Dental Hygienists,"Chicago-Npvl, IL",947835815,Belkic,Vesna,GENERAL MGR,,Female
Sep 14 2021,Mar 14 2022,Data Axle,1st Family Dental-Arlington,1235 N Rand Rd,Arlington Hts,IL,60004-4314,C014,350,1235 N Rand Rd,Arlington Hts,IL,60004-4314,350,C014,Cook,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",374862258,Belkic,Vesna,GENERAL MGR,,Female
Sep 14 2021,Mar 14 2022,Data Axle,1st Family Dental-LA Grange,4901 N Kedzie Ave,Chicago,IL,60625-5009,C030,16,1103 E 31st St,La Grange Park,IL,60526-1280,992,C033,Cook,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",705870530,Belkic,Vesna,COO,,Female
Sep 14 2021,Mar 14 2022,Data Axle,1st Family Dental-Little Vlg,4049 W 26th St,Chicago,IL,60623-3701,C042,499,4049 W 26th St,Chicago,IL,60623-3701,499,C042,Cook,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",382166676,Khawaja,Vicky,DIRECTOR,,Female
Sep 14 2021,Mar 14 2022,Data Axle,1st Family Dental-Logan Square,2511 N Milwaukee Ave,Chicago,IL,60647-3883,C071,997,2511 N Milwaukee Ave,Chicago,IL,60647-3883,997,C071,Cook,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",218376523,Belkic,Vesna,GENERAL MGR,,Female
Sep 14 2021,Mar 14 2022,Data Axle,24 Hour Dentist,11105 S Kedzie Ave,Chicago,IL,60655-2329,C016,57,11105 S Kedzie Ave,Chicago,IL,60655-2329,57,C016,Cook,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",402473791,Simmons,Robert,OWNER,,Male
Sep 14 2021,Mar 14 2022,Data Axle,26th Street Dental Ctr,3936 W 26th St,Chicago,IL,60623-3705,C042,369,3936 W 26th St,Chicago,IL,60623-3705,369,C042,Cook,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",712131204,Ogbara,Oladimeji,OPERATIONS,,
Sep 14 2021,Mar 14 2022,Data Axle,3020 Dental Assoc,3020 W Montrose Ave,Chicago,IL,60618-1312,C024,200,3020 W Montrose Ave,Chicago,IL,60618-1312,200,C024,Cook,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",506461581,Dupri,Jasminka,OFFICE MANAGER,,Female
Sep 14 2021,Mar 14 2022,Data Axle,32 & U Dental,1121 N Western Ave,Chicago,IL,60622-0027,C067,997,1121 N Western Ave,Chicago,IL,60622-0027,997,C067,Cook,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",748902810,,,,,
Sep 14 2021,Mar 14 2022,Data Axle,34th Street Dental Care,6411 34th St,Berwyn,IL,60402-3717,C025,118,6411 34th St,Berwyn,IL,60402-3717,118,C025,Cook,802101,Dentists,802101,Dentists,802104,Cosmetic Dentistry,"Chicago-Npvl, IL",150359610,Brucci,Anthony A,OWNER,,Male
Sep 14 2021,Mar 14 2022,Data Axle,4 Star Dental,2309 63rd St,Woodridge,IL,60517-1300,C075,98,2309 63rd St,Woodridge,IL,60517-1300,98,C075,Du Page,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",725726338,Blasko,Jacqueline,,DMD,Female
Sep 14 2021,Mar 14 2022,Data Axle,888 Orthodontics PC,2043 W Irving Park Rd,Chicago,IL,60618-3935,C002,432,2043 W Irving Park Rd,Chicago,IL,60618-3935,432,C002,Cook,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",711058777,Dolgi,William V,OTHER,,Male
Sep 14 2021,Mar 14 2022,Data Axle,A & B Orthodontic Lab,5031 Warren St,Skokie,IL,60077-2910,C046,314,5031 Warren St,Skokie,IL,60077-2910,314,C046,Cook,807201,Laboratories-Dental,807201,Laboratories-Dental,,,"Chicago-Npvl, IL",219639259,Saipi,Agim,OWNER,,Male
Sep 14 2021,Mar 14 2022,Data Axle,A & P Dental,3034 W Devon Ave # 200,Chicago,IL,60659-1400,C013,504,3034 W Devon Ave # 200,Chicago,IL,60659-1400,504,C013,Cook,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",567297171,Amin,Kamlesh G,,DDS,Male
Sep 14 2021,Mar 14 2022,Data Axle,A & W Dental Assoc,8301 S Brandon Ave,Chicago,IL,60617-2656,C011,10,8301 S Brandon Ave,Chicago,IL,60617-2656,10,C011,Cook,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",448908004,Willoughby,Stewart G,OWNER,,Male
Sep 14 2021,Mar 14 2022,Data Axle,A A Artisuk & Assoc,PO Box 663,Park Ridge,IL,60068-0663,B007,636,770 Busse Hwy # D,Park Ridge,IL,60068-2441,766,C019,Cook,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",567285085,Artisuk,Alexandra M,,DDS,Female
Sep 14 2021,Mar 14 2022,Data Axle,A A Dental Assoc,482 S Spring Rd,Elmhurst,IL,60126-3858,C073,821,482 S Spring Rd,Elmhurst,IL,60126-3858,821,C073,Du Page,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",445845563,,,,,
Sep 14 2021,Mar 14 2022,Data Axle,A American Dental Creations,165 W 10th St # 1,Chicago Heights,IL,60411-2000,C025,15,165 W 10th St # 1,Chicago Heights,IL,60411-2000,15,C025,Cook,807201,Laboratories-Dental,807201,Laboratories-Dental,,,"Chicago-Npvl, IL",422936604,,,,,
Sep 14 2021,Mar 14 2022,Data Axle,A Ashland Lincoln Family Dntl,1105 W Belmont Ave,Chicago,IL,60657-3312,C021,52,1105 W Belmont Ave,Chicago,IL,60657-3312,52,C021,Cook,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",151746633,Carbajal-Gaule,Elena,OFFICE MANAGER,,Female
Sep 14 2021,Mar 14 2022,Data Axle,A Beauitful Smile,582 Crescent Blvd,Glen Ellyn,IL,60137-4151,C001,822,582 Crescent Blvd,Glen Ellyn,IL,60137-4151,822,C001,Du Page,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",648533826,,,,,
Sep 14 2021,Mar 14 2022,Data Axle,A Better Smile,9694 Reding Cir,Des Plaines,IL,60016-1551,C065,942,9694 Reding Cir,Des Plaines,IL,60016-1551,942,C065,Cook,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",658576533,Baek,Peter,OWNER,,Male
Sep 14 2021,Mar 14 2022,Data Axle,A Brilliant Smile,1002 North Blvd,Oak Park,IL,60301-1183,C033,999,1002 North Blvd,Oak Park,IL,60301-1183,999,C033,Cook,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",259089571,Raihle,Kevin,OWNER,,Male
Sep 14 2021,Mar 14 2022,Data Axle,A Brush Above,3236 W Fullerton Ave,Chicago,IL,60647-2512,C056,368,3236 W Fullerton Ave,Chicago,IL,60647-2512,368,C056,Cook,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",218358190,Roman,Laura,OFFICE MANAGER,,Female
Sep 14 2021,Mar 14 2022,Data Axle,A Denta Care Specialist,5780 N Lincoln Ave,Chicago,IL,60659-4721,C015,802,5780 N Lincoln Ave,Chicago,IL,60659-4721,802,C015,Cook,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",421525928,Madison,Yolanda A,,DMD,Female
Sep 14 2021,Mar 14 2022,Data Axle,A Dental Place,845 S Main St # 202,Lombard,IL,60148-3350,C032,523,845 S Main St # 202,Lombard,IL,60148-3350,523,C032,Du Page,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",445843469,Fong,Dan,OWNER,,Male
Sep 14 2021,Mar 14 2022,Data Axle,A Garrett Berley DDS,1s132 Summit Ave # 201,Oakbrook Terrace,IL,60181-3993,C015,325,1s132 Summit Ave # 201,Oakbrook Terrace,IL,60181-3993,325,C015,Du Page,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",748685510,Berley,A Garrett,OPERATIONS,,Male
Sep 14 2021,Mar 14 2022,Data Axle,A Gentle Touch Dentistry,150 W Half Day Rd # 203,Buffalo Grove,IL,60089-6591,R004,538,150 W Half Day Rd # 203,Buffalo Grove,IL,60089-6591,538,R004,Lake,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",213109440,Patel,Prashant C,OWNER,,Male
Sep 14 2021,Mar 14 2022,Data Axle,A H Dentistry,1635 N Arlington Heights #208,Arlington Hts,IL,60004-3960,C070,589,1635 N Arlington Heights #208,Arlington Hts,IL,60004-3960,589,C070,Cook,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",709556670,Sobczak,Renata,MANAGER,,Female
Sep 14 2021,Mar 14 2022,Data Axle,A Healthy Smile,775 W IL Route 22,Lake Zurich,IL,60047-2552,C008,757,775 W IL Route 22,Lake Zurich,IL,60047-2552,757,C008,Lake,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",250029931,Song,Young D,PRESIDENT,,
Sep 14 2021,Mar 14 2022,Data Axle,A Lasting Smile,222 Vollmer Rd # 1b,Chicago Heights,IL,60411-1895,C037,122,222 Vollmer Rd # 1b,Chicago Heights,IL,60411-1895,122,C037,Cook,802101,Dentists,802101,Dentists,802104,Cosmetic Dentistry,"Chicago-Npvl, IL",400583193,,,,,
Sep 14 2021,Mar 14 2022,Data Axle,A Plus Dental,20500 S LA Grange Rd # 106,Frankfort,IL,60423-1900,C006,311,20500 S LA Grange Rd # 106,Frankfort,IL,60423-1900,311,C006,Will,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",983846742,Nicastro,Vincenzo,OWNER,,Male
Sep 14 2021,Mar 14 2022,Data Axle,A Plus Endodontics Inc,24228 W Lockport St,Plainfield,IL,60544-1733,C003,999,24228 W Lockport St,Plainfield,IL,60544-1733,999,C003,Will,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",415396958,Alsabek,Fuwad,OWNER,,Male
Sep 14 2021,Mar 14 2022,Data Axle,A To Z Dental,13149 S Lake Mary Dr,Plainfield,IL,60585-2650,R005,490,13149 S Lake Mary Dr,Plainfield,IL,60585-2650,490,R005,Will,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",723343325,,,,,
Sep 14 2021,Mar 14 2022,Data Axle,A To Z Dental LLC,3677 Sauk Trl # 1,Richton Park,IL,60471-1462,C031,18,3677 Sauk Trl # 1,Richton Park,IL,60471-1462,18,C031,Cook,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",624915906,Zhang,Liqing,OPERATIONS,,
Sep 14 2021,Mar 14 2022,Data Axle,A Topacio Dental,6508 W Archer Ave,Chicago,IL,60638-2423,C025,998,6508 W Archer Ave,Chicago,IL,60638-2423,998,C025,Cook,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",722706700,Topacio,Alberto M,OWNER,,Male
Sep 14 2021,Mar 14 2022,Data Axle,A Touch Of Class Dentistry,3240 Vollmer Rd,Olympia Fields,IL,60461-1122,C005,403,3240 Vollmer Rd,Olympia Fields,IL,60461-1122,403,C005,Cook,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",208335182,Yi,Jack,OWNER,,Male
Sep 14 2021,Mar 14 2022,Data Axle,A-1 Schaumburg Dental Care,2071 Irving Park Rd # 100,Hanover Park,IL,60133-3159,C029,252,2071 Irving Park Rd # 100,Hanover Park,IL,60133-3159,252,C029,Cook,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",711682126,Adatia,Mayank R,,DDS,Male
Sep 14 2021,Mar 14 2022,Data Axle,A1 Dental,6550 S Cass Ave,Westmont,IL,60559-3211,C005,503,6550 S Cass Ave,Westmont,IL,60559-3211,503,C005,Du Page,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",434144649,,,,,
Sep 14 2021,Mar 14 2022,Data Axle,A1 Dental Care,1013 Sheppey Ct,Naperville,IL,60565-6109,R012,138,359 N Farnsworth Ave,Aurora,IL,60505-3082,597,C079,Kane,801104,Clinics,802101,Dentists,,,"Chicago-Npvl, IL",691444178,Adatia,Mike,OWNER,,Male
Sep 14 2021,Mar 14 2022,Data Axle,A1 Dental Clinic,3239 Grove Ave # 101,Berwyn,IL,60402-3406,C026,393,3239 Grove Ave # 101,Berwyn,IL,60402-3406,393,C026,Cook,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",309352797,,,,,
Sep 14 2021,Mar 14 2022,Data Axle,Khadija Aamir Sulemanj DMD,5225 Touhy Ave,Skokie,IL,60077-3245,C005,259,5225 Touhy Ave,Skokie,IL,60077-3245,259,C005,Cook,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",743403785,Aamir Sulemanj,Khadija,,DMD,Female
Sep 14 2021,Mar 14 2022,Data Axle,Aap Dental Group,5037 N Harlem Ave,Chicago,IL,60656-3501,C016,378,5037 N Harlem Ave,Chicago,IL,60656-3501,378,C016,Cook,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",427028759,Musur,Thomas J,OPERATIONS,,Male
Sep 14 2021,Mar 14 2022,Data Axle,Ricardo Abakah DDS,3001 Green Bay Rd,North Chicago,IL,60064-3048,C006,18,3001 Green Bay Rd,North Chicago,IL,60064-3048,18,C006,Lake,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",747870826,Abakah,Ricardo,,DDS,Male
Sep 14 2021,Mar 14 2022,Data Axle,Abbey Dental,2056 W Irving Park Rd,Chicago,IL,60618-3910,C002,565,2056 W Irving Park Rd,Chicago,IL,60618-3910,565,C002,Cook,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",397254632,Jones,Christine,OFFICE MANAGER,,Female
Sep 14 2021,Mar 14 2022,Data Axle,ABC Dental PC,4608 W Diversey Ave,Chicago,IL,60639-1801,C022,998,4608 W Diversey Ave,Chicago,IL,60639-1801,998,C022,Cook,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",712133953,Zayzafoon,Nada,OWNER,,Female
Sep 14 2021,Mar 14 2022,Data Axle,ABC Dentistry & Orthodontics,80 W Hillcrest Blvd #212,Schaumburg,IL,60195-3111,C024,62,80 W Hillcrest Blvd #212,Schaumburg,IL,60195-3111,62,C024,Cook,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",461048985,Reyes,Jennifer A,OFFICE MANAGER,,Female
Sep 14 2021,Mar 14 2022,Data Axle,Nada Abdallah DDS,801 S Paulina St,Chicago,IL,60612-7210,C099,997,801 S Paulina St,Chicago,IL,60612-7210,997,C099,Cook,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",750433520,Abdallah,Nada,,DDS,Female
Sep 14 2021,Mar 14 2022,Data Axle,Sami M Abdelrahim DMD,5501 W 79th St,Burbank,IL,60459-1784,C068,998,5501 W 79th St,Burbank,IL,60459-1784,998,C068,Cook,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",725359547,Abdelrahim,Sami M,,DMD,Male
Sep 14 2021,Mar 14 2022,Data Axle,Ahmed Abdelsamad DDS,1900 W Polk St # 611,Chicago,IL,60612-3723,C097,0,1900 W Polk St # 611,Chicago,IL,60612-3723,0,C097,Cook,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",736609161,Abdelsamad,Ahmed,,DDS,Male
Sep 14 2021,Mar 14 2022,Data Axle,Olubanwo Abejide DMD,1106 Neal Ave,Joliet,IL,60433-2548,C022,69,1106 Neal Ave,Joliet,IL,60433-2548,69,C022,Will,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",748403379,Abejide,Olubanwo,,DMD,Female
Sep 14 2021,Mar 14 2022,Data Axle,Olubanwo O Abejide DMD,155 N Neltnor Blvd,West Chicago,IL,60185-2315,C002,559,155 N Neltnor Blvd,West Chicago,IL,60185-2315,559,C002,Du Page,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",720962592,Abejide,Olubanwo O,,DMD,Female
Sep 14 2021,Mar 14 2022,Data Axle,Abel Dental Lab,11102 S Natoma Ave,Worth,IL,60482-1930,C010,25,11102 S Natoma Ave,Worth,IL,60482-1930,25,C010,Cook,807201,Laboratories-Dental,807201,Laboratories-Dental,,,"Chicago-Npvl, IL",582776191,Santomarco,C,OWNER,,
Sep 14 2021,Mar 14 2022,Data Axle,Jason Abraham DDS,2821 Grand Ave,Waukegan,IL,60085-2372,C037,214,2821 Grand Ave,Waukegan,IL,60085-2372,214,C037,Lake,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",751363061,Abraham,Jason,,DDS,Male
Sep 14 2021,Mar 14 2022,Data Axle,Pheba Marin Abraham DMD,801 S Paulina St,Chicago,IL,60612-7210,C099,997,801 S Paulina St,Chicago,IL,60612-7210,997,C099,Cook,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",749640337,Abraham,Pheba Marin,,DMD,Female
Sep 14 2021,Mar 14 2022,Data Axle,Orlando J Abreu Fuerte DDS,801 S Paulina St,Chicago,IL,60612-7210,C099,997,801 S Paulina St,Chicago,IL,60612-7210,997,C099,Cook,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",750433595,Abreu Fuerte,Orlando J,,DDS,Male
